job_title,employment_type,company,salary,processed_salary,min_education_level,requirements
Math & Statistics tutor - US curriculum,Full-time,"Filo edTech
","Rp. 9,000,000 - Rp. 9,300,000 a month",Rp. 9.150.000,S1,"Qualifications

Qualified Teacher, Mathematics Education, and Lesson Planning skills
Experience in curriculum development
Strong proficiency in Mathematics
Excellent communication and interpersonal skills
Ability to adapt teaching methods to student needs
Experience with online teaching platforms is a plus
Bachelor's or Master's degree in Mathematics or Education"
Remote Business Development,"Contract
",PT SPC,"Rp. 3,000,000 - Rp. 5,000,000 a month",Rp. 4.000.000,,
Digital Marketing Manager – Bali-Based,Full-time,Bubblegum Casting,"Rp. 3,500,000 - Rp. 6,000,000 a month",Rp. 4.750.000,,"Proven experience as a Digital Marketing Manager or in a similar role.
Expertise in Google Ads, Facebook Ads, SEO, and email marketing platforms.
Strong analytical skills with the ability to interpret data and adjust strategies accordingly.
Excellent written and spoken English for creating compelling copy and communication.
Creative problem-solver with a proactive attitude.
Based in Bali, with the ability to work from our Canggu office 1–2 days per week."
Remote Host Live dan Talent Konten,Full-time,UD. REFIZA,"Rp. 1,500,000 - Rp. 2,500,000 a month
",Rp. 2.000.000,,"Talkative dan interaktif

Mampu memahami product knowledge secara mendetail dengan baik & cepat

Up to date terhadap tren & perkembangan media sosial"
Remote InFrame Content Creator,Full-time,UD. REFIZA,"Rp. 1,500,000 - Rp. 2,500,000 a month
",Rp. 2.000.000,,"Menjadi Talent untuk Konten Medsos

Percaya diri di kamera

Talkative dan interaktif

Mampu memahami product knowledge secara mendetail dengan baik & cepat

Up to date terhadap tren & perkembangan media sosial"
Digital Marketing - Hybrid Bandung,Full-time  / Contract,Cilsy Fiolution Indonesia,"Rp. 4,000,000 - Rp. 4,300,000 a month",Rp. 4.150.000,,"- Minimal 2 tahun pengalaman sebagai Digital Marketing Specialist atau peran serupa.

- Pengalaman dalam mengelola iklan berbayar (Google Ads, Facebook Ads, TikTok Ads, atau LinkedIn Ads).

- Pengalaman dalam SEO/SEM dan Kol MarketingPengalaman dengan strategi pemasaran berbasis data (data-driven marketing).

- Lebih disukai memiliki pengalaman dalam copywriting atau pembuatan konten kreatif.

- Terbiasa mengelola website berbasis Wordpress ElementorMemiliki pengetahuan dan pengalaman juga dalam email funneling melalui email/whatsapp marketing"
SAP FICO AMS Support - Remote(WFH),Contract,amIT Global Solutions Sdn Bhd,"Rp. 2,500,000 - Rp. 2,800,000 a day",Rp. 79.500.000,,SAP FICO: 6 years (Required)
Admin Marketing Onlineshop,Full-time,PT HASWARA ANJAYA AKEH,"Rp. 3,000,000 - Rp. 3,500,000 a month",Rp. 3.250.000,S1,"Wanita
Min pendidikan D3/S1 (Jurusan Administrasi disukai)
Min pengalaman 1 tahun di bidang Administrasi
Memiliki kemampuan bidang Marketplace (Shoppe, Tokped, dlln)
Memiliki kemampuan di MS Office (Excel/Spreadsheet)
Memahami analisa pasar
Berdomisili Kab Bandung"
Technical Marketing and Communication Manager,Full-time,LINGUISE,"Rp. 8,000,000 - Rp. 10,000,000 a month",Rp. 9.000.000,S1,"A well-written English is required
Knowing internet websites and CMS business such as WordPress
SEO is important
Experienced as Marketing Communication Manager
Minimum 3 years of working experience
Held bachelor degree would be a plus"
Customer Service (Pontianak),Full-time,PT Multi Bangun Abadi,"Rp. 4,000,000 - Rp. 4,500,000 a month
",Rp. 4.250.000,SMA,"Pengalaman 2 tahun
Perempuan / Laki - laki, max. 27 tahun
D3 semua jurusan
SMA/SMK dengan pengalaman kerja Customer Service
Penampilan menarik & Komunikatif
Bersedia memenuhi target penjualan"
Business Consultant,Full-time,PT EAB Pelatihan Indonesia,"Rp. 6,000,000 - Rp. 8,000,000 a month",Rp. 7.000.000,S1,"Good Attitude dan berpenampilan rapi
Terbuka untuk Fresh Graduate
Bersedia untuk WFO di Jakarta Selatan
Motivasi tinggi untuk bekerja dan mendapat penghasilan lebih
Pendidikan Min. S1 / Sederajat
Bekerja dengan berorientasi tekanan"
Marketing Logistik,Full-time,PT Inter Mitra Transindo,"Rp. 3,000,000 - Rp. 3,700,000 a month",Rp. 3.350.000,D3,"Usia maksimal 35 tahun.
Minimal D3 semua jurusan, lebih diutamakan bidang logistik atau marketing.
IPK minimal 3.00 skala 4.00
Pengalaman minimal 2 tahun di bidang logistik, transportasi atau pelayaran lebih diutamakan.
Jujur dan memiliki attitude yang baik
Memiliki kemampuan analisis dan komunikasi yang baik.
Dapat mengoperasikan komputer.
Bertanggungjawab atas pekerjaan.
Mau belajar dan meningkatkan kemampuan diri.
Lokasi kerja di Makassar - Sulawesi Selatan.
Bersedia ditempatkan seluruh Indonesia"
Bilingual Community Manager- AI Trainer,Contract,"DataAnnotation
","Rp. 316,720 an hour",Rp. 76.012.800,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Network Engineer - NOC Onsite - Teknisi Komputer & Jaringan,Full-time / Contract,PT Asia Teknologi Solusi (ATS Communication),"Rp. 5,100,000 - Rp. 7,700,000 a month",Rp. 6.400.000,,"Persyaratan:

1. Paham secara mendalam tentang DNS, DHCP, TCP/IP, VPN, VLAN, OSPF, BGP.
2. Memiliki kendaraan pribadi dan SIM.
3. Maximal absen (tanpa surat keterangan yang valid) 2 hari dalam 1 bulan.
4. Kepribadian rapih, sopan & sabar dalam menangani keluhan pelanggan.
5. Mampu bekerja dengan hasil yang rapih, cepat & akurat.
6. Siap bekerja lembur untuk menyelesaikan tugas & tanggung jawab.
7. Patuh terhadap Kode Etik dan Peraturan Perusahaan.
8. Siap bekerja shift malam saat dibutuhkan.
9. Tidak takut ketinggian (maintenance perangkat di infrastruktur menara BTS) ."
Network Engineer - Teknisi Jaringan Internet Wireless Outdoor,Full-time / Contract,PT Asia Teknologi Solusi (ATS Communication),"Rp. 5,100,000 - Rp. 7,700,000 a month",Rp. 6.400.000,,"Persyaratan:

1. Paham konfigurasi wireless Mikrotik, Ubiquiti, Cambium, Ceragon.
2. Bersedia dan berani naik tower BTS (Base Transceiver Station) sekitar 30 meter untuk melakukan pekerjaannya.
3. Paham konsep jaringan komputer wireless indoor dan wireless outdoor secara mendalam.
4. Memiliki kendaraan pribadi dan SIM.
5. Maximal absen (tanpa surat keterangan yang valid) 2 hari dalam 1 bulan.
6. Kepribadian rapih, sopan & sabar dalam menangani keluhan pelanggan.
7. Mampu bekerja dengan hasil yang rapih, cepat & akurat.
8. Siap bekerja lembur untuk menyelesaikan tugas & tanggung jawab.
9. Patuh terhadap Kode Etik dan Peraturan Perusahaan."
SEO Specialis - Bandung,Full-time,PT HASWARA ANJAYA AKEH,"Rp. 3,000,000 - Rp. 3,500,000 a month",Rp. 3.250.000,SMA,"Kualifikasi :
Wanita
Min usia 20-35 Tahun
Min pendidikan SMA/D3 (Semua Jurusan)
Memiliki pengalaman dibidang yang sejalan min 1 Tahun
Memiliki kemampuan Marketplace
Memiliki kemampuan SEO
Good Communication"
Staf Entri Data berbahasa Jerman (Staf Deklarasi Bea Cukai) / German-speaking Data Entry Specialist,Full-time / Fresh Graduate,PUREPROGRESS Logistik GmbH,"Rp. 6,000,000 - Rp. 12,000,000 a month",Rp. 9.000.000,S1,"Qualifications:

Bachelor's degree, ideally obtained in a German-speaking country or in the German language.
Previous experience as a customs declarant, freight forwarding and logistics services clerk, or in data entry.
Exceptional German language skills are mandatory.
Advanced English language skills are highly appreciated and will be considered a significant asset.
Meticulous attention to detail and accuracy in work.
Familiarity with customs software and relevant processes."
SALES PROPERTY MANAGER,Full-time,PT. Elevate Property Management,"Rp. 10,000,000 a month",Rp. 10.000.000,,"- Experienced in the field of property sales industry for at least 3 years.

- Educational background in Sales & Marketing Management is preferred.

- Fluent in English both spoken and written.

- Proficient in Ms. Office and ready to work according to the target

- Customer service oriented person and have great networking skill with the client

- Responsible, honest, communicative, outgoing"
Jakarta Teknisi Internet FTTX Residential & Corporate,Full-time,PT Rajawali Anugrah Resources,"Rp. 5,061,000 - Rp. 5,300,000 a month",Rp. 5.180.500,D3,"Minimum Education STM / D3 Department Telecommunication / Electrical / Informatics
Miinimum 1 year experience in FTTX ( fresh graduate are welcome )
Having knowledge about FTTX topology
Hard worker and dedicate to jobs"
SURABAYA Teknisi Internet FTTX Residential & Corporate,Full-time,PT Rajawali Anugrah Resources,"Rp. 4,725,000 - Rp. 5,000,000 a month",Rp. 4.862.500,D3,"o Minimum Education STM / D3 Department Telecommunication / Electrical / Informatics

o Miinimum 1 year experience in FTTX ( fresh graduate are welcome )

o Having knowledge about FTTX topology

o Hard worker and dedicate to jobs

Having own motorcyles"
Senior Software Engineer (Go) - Hybrid/Remote,Full-time,We+ Asia,"Rp. 13,000,000 a month",Rp. 13.000.000,S1,"Bachelor's degree in Information Technology, Computer Science, or a related
field.

Proven experience in software development with a strong emphasis on the Go
programming language.

Proficiency in Go, with a deep understanding of its ecosystems and frameworks.
Solid grasp of software development principles, data structures, and algorithms.
Experience with SCRUM/Agile software development methodologies.
Experience in building and optimizing microservices and cloud-native
applications is advantageous.

Experience in designing distributed systems and working with microservices
architectures.

Familiarity with containerization technologies such as Docker.
Strong knowledge of architectural styles and design patterns.
Excellent teamwork and collaboration skills, with the ability to work effectively in cross-functional teams.

Exceptional problem-solving skills and a proactive mindset to tackle complex
technical challenges."
Pentester & Education Intructor Hybird - Jakarta,Full-time,Cilsy Fiolution Indonesia,"Rp. 5,000,000 - Rp. 5,000,010 a month",Rp. 5.000.005,,"What You Will Need :

Minimal 2 tahun pengalaman sebagai Pentester atau peran serupa dalam keamanan siber.
Pengalaman dalam melakukan uji penetrasi pada aplikasi web, jaringan, dan sistem, dengan pemahaman mendalam tentang alat dan teknik uji seperti Metasploit, Burp Suite, dan Nmap.
Pengalaman dalam menyusun dan memberikan materi pelatihan atau sosialisasi keamanan akan menjadi nilai tambah.
Other Requirements:

Sertifikasi yang diakui dalam keamanan siber seperti CEH (Certified Ethical Hacker), OSCP (Offensive Security Certified Professional), atau yang setara.
Kemampuan teknis dan analitis yang kuat dalam mendeteksi dan memitigasi kerentanan.
Kemampuan komunikasi yang baik untuk menyampaikan materi kompleks secara sederhana dan mudah dipahami.
Pemahaman mendalam tentang kebijakan keamanan, kepatuhan, serta standar industri seperti ISO 27001, SOC 2, atau NIST.
Kreatif dalam mengembangkan skenario uji penetrasi dan latihan keamanan untuk meningkatkan kesadaran tim internal terhadap ancaman keamanan.
Hardware Requirements:

Memiliki laptop atau komputer (Mac atau PC) dengan spesifikasi tinggi, cukup untuk menjalankan perangkat lunak keamanan, uji penetrasi, dan pembuatan konten edukasi secara efektif."
Conceptor,Full-time,PT Untung Bersama Sejahtera (UBS Gold),"
Rp. 5,000,000 - Rp. 5,500,000 a month",Rp. 5.250.000,S1,"1. Perempuan usia maks. 25 th

2. S1 Ilmu Komunikasi/Sastra Inggris/Manajemen

3. IPK min. 3.00

4. Komunikatif & cekatan

5. ?Memiliki skill copy writing

?6. Creative dan mengikuti perkembangan social media"
Google PPC and SEO Expert,Part-time,No Risk Designs,"Rp. 50,000 - Rp. 60,000 an hour",Rp. 13.200.000,,"Qualifications

Experience: 2+ years of experience in PPC and SEO, preferably in an agency setting.
Skills:
Proficiency in Google Ads, Google Analytics, and SEO tools (e.g., SEMrush, Ahrefs, Moz).
Strong understanding of search engine algorithms and ranking factors.
Excellent analytical and reporting skills.
Ability to manage multiple campaigns and meet deadlines.
Education: Degree in Marketing, Business, or a related field is a plus but not required.
Certifications: Google Ads and SEO certifications are highly desirable."
Destination Manager - Indonesia,Full-time,Confidential,"Rp. 15,500,000 - Rp. 18,500,000 a month",Rp. 17.000.000,,"Requirements:

Based in Bali, Indonesia
Has a strong understanding of tourism industry business practices in Indonesia
Preferably with 1-2 years experience in account management, sales, hospitality and/or online travel industry
Ability to synthesize data and information into problem solving and action
Flexible and has strong time management skills
Self-motivated and autonomous while having the confidence to seek guidance and direction as needed
Strong interpersonal and communication skills, both oral and written.
Proficient in computer skills including experience with G-Suite
Open to new technologies and willing to adapt them in everyday operations
Embraces diversity, a team player and collaborative
Great communication and interpersonal skills; fluent and/or highly proficient in oral and written English"
Senior Drone Engineer,Full-time,TERRA DRONE AGRI SDN. BHD.,"Rp. 6,000,000 - Rp. 8,000,000 a month",Rp. 7.000.000,,"Requirement / Competencies:

Minimal memiliki 2 tahun pengalaman yang sesuai.
Mengerti Sistem Drone Fixedwing dan Multirotor.
Mengerti RTK System pada drone.
Menguasai tool elektronik seperti solder, drilling dll.
Dapat mengoperasikan drone Fixed-wing dan multirotor.
Dapat berkomunikasi dalam Bahasa Inggris."
